handle,tweet_text,tweet_date,tweet_time,image_urls,cleaned_text,processed_text,tier1_category,detailed_category,locations
ZeeNewsEnglish,"लुधियाना में आम आदमी पार्टी के राष्ट्रीय संयोजक अरविंद केजरीवाल और पंजाब के मुख्यमंत्री भगवंत मान ने लुधियाना में विश्वस्तरीय सुविधाओं से लैस Civil Hospital का शुभारंभ करके अस्पताल की सेवाओं का निरीक्षण किया

#AamAadmiParty #Punjab #BhagwantMann #ArvindKejriwal 
@ArvindKejriwal",2025-03-18,09:35:56,"['https://pbs.twimg.com/media/GmUDe5HaEAAy55g?format=jpg&name=small', 'https://pbs.twimg.com/media/GmUDe0waYAAyxjW?format=jpg&name=small', 'https://pbs.twimg.com/media/GmUDe0vbMAEtUVu?format=jpg&name=small', 'https://pbs.twimg.com/media/GmUDe5MbUAAs1go?format=jpg&name=small']",civil hospital,civil hospital,Neutral,,[]
ZeeNewsEnglish,"#iQOONeo10R Goes On Sale Starting March 19; Check Specs, Price And #BankOffers",2025-03-18,10:02:34,[],goes on sale starting march check specs price and,go sale starting march check spec price,Neutral,,[]
ZeeNewsEnglish,Opinion: Is #Cricket Dying? Why Teams Outside The Big Four Are Fading Away - And Can #ICC Fix This Before It’s Too Late?,2025-03-18,10:00:46,[],opinion is dying why teams outside the big four are fading away and can fix this before its too late,opinion dying team outside big four fading away fix late,Achievement-based,Record,[]
ZeeNewsEnglish,"#AmitabhBachchan Revisits #Sarkar, Says 'I Am Nowhere In The Film,' Comments On #AbhishekBachchan's Performance",2025-03-18,09:18:22,[],revisits says i am nowhere in the film comments on s performance,revisits say nowhere film comment performance,Neutral,,[]
ZeeNewsEnglish,"#SikandarNaache: #SalmanKhan’s Swag, Style, And #RashmikaMandana Dance Moves Shine In New Track From #Sikandar",2025-03-18,09:11:52,[],s swag style and dance moves shine in new track from,swag style dance move shine new track,Achievement-based,Record,[]
ZeeNewsEnglish,"नागपुर हिंसा पर बीजेपी MLA प्रवीण दटके का बड़ा दावा- 'प्लानिंग के साथ दंगा किया गया, तोड़फोड़ से मुस्लिमों ने गाड़ियां हटाई. हिंसा में बाहरी लोग शामिल'

#Nagpur #NagpurViolence #Maharashtra #PravinDatke | #ZeeNews",2025-03-18,05:32:49,['https://pbs.twimg.com/media/GmTKbGzaQAAvG-i?format=jpg&name=900x900'],mla,mla,Achievement-based,Record,[]
ZeeNewsEnglish,#RishabhPant Must Step Up: #SouravGanguly Issues Strong Warning Before #England,2025-03-18,05:31:40,[],must step up issues strong warning before,must step issue strong warning,Crime-related,Assault,[]
ZeeNewsEnglish,#Auto Exports In #SouthKorea Hit Fresh High In February On Hybrid Models,2025-03-18,05:26:41,[],exports in hit fresh high in february on hybrid models,export hit fresh high february hybrid model,Achievement-based,Record,[]
IndiaToday,"#DhanashreeVerma released a new song about infidelity on the day of her divorce

Read here: 
https://indiatoday.in/movies/celebrities/story/dhanshree-verma-shares-song-about-infidelity-domestic-violence-after-divorce-2696763-2025-03-21…",2025-03-21,06:13:08,['https://pbs.twimg.com/media/GmiyF-IbUAEXrRb?format=jpg&name=900x900'],released a new song about infidelity on the day of her divorce read here,released new song infidelity day divorce read,Crime-related,Fraud,[]
IndiaToday,"Muslim quota bill passed in Karnataka, BJP MLAs tear copy, throw at Speaker
India Today's 
@anaghakesav
 gets us more details.
#Karnataka #MuslimQuota #ITVideo #KarnatakaAssembly | 
@Akshita_N
 @nagarjund",2025-03-21,06:13:07,['https://pbs.twimg.com/amplify_video_thumb/1902962971065847811/img/s25hbTnqgOBLpwDz.jpg'],muslim quota bill passed in karnataka bjp mlas tear copy throw at speaker india todays gets us more details,muslim quota bill passed karnataka bjp mlas tear copy throw speaker india today get u detail,Crime-related,Theft,"['Karnataka', 'India']"
IndiaToday,#Downsyndrome is caused by an extra copy of chromosome 21,2025-03-21,06:11:16,[],is caused by an extra copy of chromosome,caused extra copy chromosome,Crime-related,Theft,[]
IndiaToday,Sonakshi Sinha on life with Zaheer Iqbal: Haven't wasted a day since I met him,2025-03-21,05:43:46,[],sonakshi sinha on life with zaheer iqbal havent wasted a day since i met him,sonakshi sinha life zaheer iqbal havent wasted day since met,Achievement-based,Milestone,[]
IndiaToday,"Ruckus in Karnataka Assembly over honey trap scandal
India Today's 
@nagarjund
 joins us for more on the story
#KarnatakaAssembly #HoneyTrap #ITVideo | 
@PoojaShali",2025-03-21,05:42:13,['https://pbs.twimg.com/amplify_video_thumb/1902951712266260482/img/rNwUKnRlsnkA57XI.jpg'],ruckus in karnataka assembly over honey trap scandal india todays joins us for more on the story,ruckus karnataka assembly honey trap scandal india today join u story,Crime-related,Fraud,['India']
IndiaToday,"LIVE | Honey trap scandal rocks Karnataka assembly!
Disha Salian death shakes-up Maharashtra!
Watch Top news stories making headlines at this hour
#ITLivestream",2025-03-21,05:31:32,[],live honey trap scandal rocks karnataka assembly disha salian death shakesup maharashtra watch top news stories making headlines at this hour,live honey trap scandal rock karnataka assembly disha salian death shakesup maharashtra watch top news story making headline hour,Crime-related,Fraud,['Karnataka']
IndiaToday,"UK PM Keir Starmer is concerned about the growing online misogyny and youth violence 

#UK #KeirStarmer",2025-03-21,05:19:19,[],uk pm keir starmer is concerned about the growing online misogyny and youth violence,uk pm keir starmer concerned growing online misogyny youth violence,Crime-related,Assault,['UK']
IndiaToday,"Fire at Delhi judge's bungalow leads to huge cash recovery; CJI Collegium transfers him to Allahabad HC

Justice (Retd.) RS Sodhi joins in for a perspective.

#JusticeYashwantVerma #DelhiHighCourt #ITVideo | 
@PoojaShali
 @SrishtiOjha11",2025-03-21,05:13:09,['https://pbs.twimg.com/ext_tw_video_thumb/1902949378295533568/pu/img/rDYwh2XQ43KqOgS2.jpg'],fire at delhi judges bungalow leads to huge cash recovery cji collegium transfers him to allahabad hc justice retd rs sodhi joins in for a perspective,fire delhi judge bungalow lead huge cash recovery cji collegium transfer allahabad hc justice retd r sodhi join perspective,Crime-related,Theft,['Delhi']
IndiaToday,"Naga Chaitanya roasts Sobhita Dhulipala: You lack basic human skills

#SobhitaDhulipala",2025-03-21,05:12:36,[],naga chaitanya roasts sobhita dhulipala you lack basic human skills,naga chaitanya roast sobhita dhulipala lack basic human skill,Neutral,,[]
IndiaToday,Apple faces legal action over delayed rollout of #AppleIntelligence,2025-03-21,05:05:21,[],apple faces legal action over delayed rollout of,apple face legal action delayed rollout,Crime-related,Theft,[]
IndiaToday,"Probe into Nagpur riots intensifies!
61 vehicles vandalised in Nagpur riots: Sources
India Today's 
@sumi_rajappan
 gets us more details
#NagpurViolence #ITVideo | 
@PoojaShali",2025-03-21,03:55:07,['https://pbs.twimg.com/amplify_video_thumb/1902924077725257728/img/DSnEw0IiA5pu_2XV.jpg'],probe into nagpur riots intensifies vehicles vandalised in nagpur riots sources india todays gets us more details,probe nagpur riot intensifies vehicle vandalised nagpur riot source india today get u detail,Crime-related,Assault,"['Nagpur', 'India']"
IndiaToday,"Elderly Couple Murdered in Delhi's Pitampura: One Arrested, Caretaker on the Run

#Delhi #elderlycouple #Pitampura #crime #mo",2025-03-21,03:54:29,['https://pbs.twimg.com/media/GmiSBcdaEAA89r3.jpg'],elderly couple murdered in delhis pitampura one arrested caretaker on the run,elderly couple murdered delhi pitampura one arrested caretaker run,Crime-related,Murder,['Delhi']
IndiaToday,"Hefty hike for Karnataka netas!
How much do the Karnataka legislators earn?
#Karnataka #ITVideo | 
@PoojaShali",2025-03-21,03:51:53,['https://pbs.twimg.com/amplify_video_thumb/1902923933789437952/img/2lBMIN6LhPyQ1hqZ.jpg'],hefty hike for karnataka netas how much do the karnataka legislators earn,hefty hike karnataka netas much karnataka legislator earn,Achievement-based,Recognition,[]
IndiaToday,"Here’s what lawyers told India Today about the Allahabad HC’s controversial ruling, which stated that grabbing a minor’s breasts and breaking her pyjama string does not amount to an attempt to rape.

#ReporterDiary #AllahabadHighCourt | 
@SrishtiOjha11",2025-03-21,03:43:31,[],heres what lawyers told india today about the allahabad hcs controversial ruling which stated that grabbing a minors breasts and breaking her pyjama string does not amount to an attempt to rape,here lawyer told india today allahabad hcs controversial ruling stated grabbing minor breast breaking pyjama string amount attempt rape,Crime-related,Rape,['India']
IndiaToday,"LIVE | Delhi Speaker Vs Babus!
Hefty hike for Karnataka MLAs!
Watch Top news stories making headlines at this hour
#ITLivestream #TheBurningQuestion | 
@PoojaShali",2025-03-21,03:33:09,[],live delhi speaker vs babus hefty hike for karnataka mlas watch top news stories making headlines at this hour,live delhi speaker v babu hefty hike karnataka mlas watch top news story making headline hour,Achievement-based,Milestone,['Delhi']
IndiaToday,"Join India Today Media Institute for PG Diploma Programs. Masters as Mentors / Excellent Placement Record / Assured Internship. 

For Admissions:  9560065465   9560065496
OR Visit http://indiatodaymediainstitute.in 

#ITMI #Promo",2025-03-21,03:27:37,['https://pbs.twimg.com/ext_tw_video_thumb/1902924872394870785/pu/img/liyzifXl_iAJvSFy.jpg'],join india today media institute for pg diploma programs masters as mentors excellent placement record assured internship for admissions or visit,join india today medium institute pg diploma program master mentor excellent placement record assured internship admission visit,Achievement-based,Record,['India']
IndiaToday,"London's Heathrow Airport closed for 24 hours after huge fire at power substation
India Today's 
@MattooShashank
 joins us for more on the story.
#London #HeathrowAirport #ITVideo | 
@PoojaShali",2025-03-21,03:26:49,['https://pbs.twimg.com/ext_tw_video_thumb/1902923525272506370/pu/img/IihWaH6qAWGBhxQj.jpg'],londons heathrow airport closed for hours after huge fire at power substation india todays joins us for more on the story,london heathrow airport closed hour huge fire power substation india today join u story,Crime-related,Theft,"['London', 'Heathrow Airport', 'India']"
IndiaToday,"Massive encounter in Pakistan's Khyber Pakhtunkhwa!

Pak army capt., 10 terrorists killed in encounter.

India Today's 
@MattooShashank
 brings us more details.

#KhyberPakhtunkhwa #PakistanArmy #Encounter #ITVideo | 
@PoojaShali",2025-03-21,03:09:13,['https://pbs.twimg.com/amplify_video_thumb/1902918254504579077/img/b8ZfZC1gq5u3N8Ih.jpg'],massive encounter in pakistans khyber pakhtunkhwa pak army capt terrorists killed in encounter india todays brings us more details,massive encounter pakistan khyber pakhtunkhwa pak army capt terrorist killed encounter india today brings u detail,Crime-related,Assault,"['Pakistan', 'India']"
IndiaToday,"Putin signs to major decrees amid peace talks
India Today's 
@MattooShashank
 joins us for more details. 
#RussiaUkraineWar #ITVideo | 
@PoojaShali",2025-03-21,03:07:06,['https://pbs.twimg.com/amplify_video_thumb/1902918254685036544/img/60SQ4t0SUhWD_RFO.jpg'],putin signs to major decrees amid peace talks india todays joins us for more details,putin sign major decree amid peace talk india today join u detail,Neutral,,['India']
IndiaToday,Stay tuned to watch the latest news & updates from India and around the world | #ITLivestream,2025-03-21,03:03:17,[],stay tuned to watch the latest news updates from india and around the world,stay tuned watch latest news update india around world,Neutral,,['India']
IndiaToday,"LIVE | Now, power bills rise in Karnataka!
Karnataka struggles to fund guarantees!
No cash crunch for legislators?
#ITLivestream | 
@PoojaShali",2025-03-21,03:01:38,[],live now power bills rise in karnataka karnataka struggles to fund guarantees no cash crunch for legislators,live power bill rise karnataka karnataka struggle fund guarantee cash crunch legislator,Neutral,,['Karnataka']
IndiaToday,"Uttarakhand govt's big crackdown on illegal madrasas!

Dhami govt. seals 110 madrasas in Uttarakhand.

India Today's 
@ankitsharmauk
 joins in with more details

#Uttarakhand #ITVideo | 
@PoojaShali",2025-03-21,02:59:27,['https://pbs.twimg.com/ext_tw_video_thumb/1902917441442942978/pu/img/PtB5tIH5wd8YqKwM.jpg'],uttarakhand govts big crackdown on illegal madrasas dhami govt seals madrasas in uttarakhand india todays joins in with more details,uttarakhand govts big crackdown illegal madrasa dhami govt seal madrasa uttarakhand india today join detail,Crime-related,Assault,"['Uttarakhand', 'India']"
IndiaToday,"Kirsty Coventry becomes 1st female president of Olympic body, Jay Shah leads wishes
#KirstyCoventry #JayShah #InternationalOlympicAssociation",2025-03-20,18:31:16,[],kirsty coventry becomes st female president of olympic body jay shah leads wishes,kirsty coventry becomes st female president olympic body jay shah lead wish,Achievement-based,Milestone,[]
IndiaToday,"#LIVE: Watch all the latest updates

#ITLivestream",2025-03-20,18:31:05,[],watch all the latest updates,watch latest update,Neutral,,[]
IndiaToday,"Retired cop Zakhir Hussain Bijli recorded a video in February 2025, warning that his life was in danger. Days later, he was brutally murdered in Tirunelveli, Tamil Nadu—dragged off his bike and hacked to death.

#Mo #TamilNadu #Tirunelveli #ZakhirHussainBijli",2025-03-20,17:21:19,['https://pbs.twimg.com/ext_tw_video_thumb/1902772119865552896/pu/img/-fAVJoROeTrPHGLI.jpg'],retired cop zakhir hussain bijli recorded a video in february warning that his life was in danger days later he was brutally murdered in tirunelveli tamil nadudragged off his bike and hacked to death,retired cop zakhir hussain bijli recorded video february warning life danger day later brutally murdered tirunelveli tamil nadudragged bike hacked death,Crime-related,Murder,['Tirunelveli']
IndiaToday,Comedian #SamayRaina postpones India tour amid #IndiasGotLatent row,2025-03-20,17:19:53,[],comedian postpones india tour amid row,comedian postpones india tour amid row,Neutral,,['India']
IndiaToday,"A 32-year-old man was admitted to a hospital in Uttar Pradesh's Mathura after he attempted to perform surgery on himself after watching YouTube videos. Suffering from persistent stomach pain and frustrated with ineffective treatments, he decided to take matters into his own",2025-03-20,17:12:49,['https://pbs.twimg.com/ext_tw_video_thumb/1902769893331853312/pu/img/46bRFKOMvvVAMayK.jpg'],a yearold man was admitted to a hospital in uttar pradeshs mathura after he attempted to perform surgery on himself after watching youtube videos suffering from persistent stomach pain and frustrated with ineffective treatments he decided to take matters into his own,yearold man admitted hospital uttar pradeshs mathura attempted perform surgery watching youtube video suffering persistent stomach pain frustrated ineffective treatment decided take matter,Achievement-based,Record,[]
IndiaToday,"""The future lies in the education, good health, happiness and glory in the nation,"" said 
@BasantPonwar
#Naxal #Chhattisgarh #IndiaFirst | 
@gauravcsawant",2025-03-20,17:04:32,[],the future lies in the education good health happiness and glory in the nation said,future lie education good health happiness glory nation said,Achievement-based,Milestone,[]
IndiaToday,"The land of honey traps: Why Karnataka politicians can't stay out of scandals
#Karnataka #HoneyTrap",2025-03-20,17:03:26,[],the land of honey traps why karnataka politicians cant stay out of scandals,land honey trap karnataka politician cant stay scandal,Crime-related,Fraud,[]
IndiaToday,"#LIVE: Donald Trump's crackdown on Pro-Hamas students | Watch #WorldToday with 
@Geeta_Mohan
  

#ITLivestream 
 https://x.com/i/broadcasts/1nAKEgjQRmVJL…",2025-03-20,16:59:32,[],donald trumps crackdown on prohamas students watch with,donald trump crackdown prohamas student watch,Achievement-based,Record,[]
IndiaToday,"From vibrant Rangpanchami celebrations to spotless streets in no time, Indore once again shows why it’s India’s cleanest city.

#Indore #SwachhBharat #Cleancity #MO #IndoreRangpanchami #Rangpanchami #Cleanup",2025-03-20,16:58:31,['https://pbs.twimg.com/ext_tw_video_thumb/1902766377594953728/pu/img/o7nhxB11uMn6OJ8-.jpg'],from vibrant rangpanchami celebrations to spotless streets in no time indore once again shows why its indias cleanest city,vibrant rangpanchami celebration spotless street time indore show india cleanest city,Achievement-based,Record,['India']
IndiaToday,"#LIVE: 30 naxal terrorists eliminated; HM speaks of ruthless approach | Watch #IndiaFirst with 
@gauravcsawant
 

#ITLivestream",2025-03-20,16:29:19,[],naxal terrorists eliminated hm speaks of ruthless approach watch with,naxal terrorist eliminated hm speaks ruthless approach watch,Crime-related,Assault,[]
IndiaToday,"""This particular agitation is not an united agitation by the entire Samyukt Kisan Morcha,"" said 
@_YogendraYadav
#Protest #FarmerProtest #NewsToday| 
@sardesairajdeep",2025-03-20,16:27:58,['https://pbs.twimg.com/amplify_video_thumb/1902752514656849920/img/ThM0Mo_C6YBgAC4t.jpg'],this particular agitation is not an united agitation by the entire samyukt kisan morcha said,particular agitation united agitation entire samyukt kisan morcha said,Achievement-based,Record,[]
IndiaToday,"""Evidence has to be put forth,"" said 
@KaranSThukral
#Suri #Hamas #NewsToday #US #deport | 
@sardesairajdeep",2025-03-20,16:19:19,['https://pbs.twimg.com/amplify_video_thumb/1902748739976273920/img/-vz5_AdVXJixKHBi.jpg'],evidence has to be put forth said,evidence put forth said,Crime-related,Assault,['US']
